	name	rating(out of 5)	rating_count	delivery_fee	min_order	delivery_option	food
136	BM Fast Food			Free delivery	No minimum	foodpanda delivery	['BBQ', 'Chicken', 'Fast Food', 'Snacks-Street Food', 'Tacos', 'Wraps', 'Arabic', 'Thin Crust Pizza', 'Burgers', 'Pizza', 'Fast Food']
137	Chashni - Model Town	4.4	10.0	Free delivery	No minimum		['Desserts', 'Cakes & Bakery']
138	Sichuan	4.1	212.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fish', 'Ice Cream', 'Meat', 'Rice', 'Soup', 'Beverage', 'Thai', 'Chinese']
139	Rafay Chicken Biryani			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Rice', 'Spicy', 'Super Discount', 'Beverage', 'Pakistani']
140	Gun Smoke	3.9	120.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Steaks', 'Beverage', 'Desserts', 'Seafood', 'Burgers']
141	Snacks City	4.0	1.0	Free delivery	No minimum	foodpanda delivery	['Pakistani', 'Fast Food']
142	Wazwan			Free delivery	No minimum	foodpanda delivery	['Rice', 'Karahi', 'Beverage', 'Desserts', 'Pakistani']
143	Decent Fast Food			Free delivery	No minimum	foodpanda delivery	['Fried Chicken', 'Ice Cream Shakes', 'Juices', 'Beverage', 'Burgers', 'Pizza', 'Sandwiches', 'Seafood', 'Fast Food']
144	Delicious Fast Food & Juice Bar	4.3	3.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Beverage', 'Fast Food']
145	Wild Wings - Gulberg			Free delivery	No minimum	foodpanda delivery	['Italian']
146	Virsa Biryani Spice			Free delivery	No minimum	Restaurant Own delivery	['Middle Eastern', 'Pakistani']
147	Cakes and Bakes	3.9	21.0	Free delivery	No minimum		['Chicken', 'Ice Cream', 'Snacks-Street Food', 'Sweets', 'Super Discount', 'Beverage', 'Pizza', 'Sandwiches', 'Cakes & Bakery']
148	KFC	4.3	2466.0	Free delivery	No minimum	Restaurant Own delivery	['Chicken', 'Fast Food', 'Fried Chicken', 'Rice', 'Wraps', 'American', 'Beverage', 'Burgers', 'Desserts', 'Fast Food']
149	Haji Sardar Machli Farosh	3.6	106.0	Free delivery	No minimum	foodpanda delivery	['Fast Food']
150	Shawarma Time - Shama	1.0	2.0	Free delivery	No minimum	foodpanda delivery	['Fast Food']
151	Kashaf's Kitchen			Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Snacks-Street Food', 'Tacos', 'Wraps', 'Burgers', 'Middle Eastern', 'Sandwiches', 'Fast Food']
152	Ahmad Dhai Bhala	4.1	41.0	Free delivery	No minimum	foodpanda delivery	['Wraps', 'Super Discount', 'Beverage', 'Burgers', 'Pakistani', 'Fast Food']
153	Pizza Channel			Free delivery	No minimum	foodpanda delivery	['Pizza']
154	Food Door			Free delivery	No minimum		['Fast Food', 'Soup', 'Salad', 'Rice', 'Noodles', 'Pasta', 'Chinese', 'Burgers', 'Italian', 'Italian']
155	Colorado Pizza			Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Pizza', 'Pakistani']
156	Pizza Heart	4.2	59.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Pizza']
157	Kartwisters			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Fried Chicken', 'Snacks-Street Food', 'Tacos', 'Wraps', 'Burgers', 'Sandwiches', 'Fast Food']
158	Pizza City- Cavalary Ground			Free delivery	No minimum	foodpanda delivery	['Fast Food']
159	Ice Lane			Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Snacks-Street Food', 'Sweets', 'Pakora', 'Ice Cream Shakes', 'Juices', 'Namkeen', 'Desserts', 'Pakistani', 'Beverage']
160	Madina Restaurant	3.9	84.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Chicken', 'Curry', 'Fish', 'Meat', 'Rice', 'Halwa', 'Karahi', 'Tandoor', 'Beverage', 'Desserts', 'Pakistani']
161	THE CHICKS-Fortress			 	No minimum	foodpanda delivery	['Fast Food', 'Fried Chicken', 'Salad', 'Beverage', 'Burgers', 'Fast Food']
162	Second Cup Coffee & Company - DHA Z Block			Free delivery	No minimum	foodpanda delivery	['Salad', 'Wraps', 'Coffee', 'Desserts', 'Sandwiches', 'Beverage']
163	Sweet Moments - Fortress Square Mall			Free delivery	No minimum		['Waffle', 'Beverage', 'Sandwiches']
164	What a Paratha - Fortress Stadium	4.1	1617.0	Free delivery	No minimum		['Chicken', 'Meat', 'Wraps', 'Tandoor', 'Desserts', 'Pakistani']
165	Gourmet Restaurant 2	4.1	111.0	Free delivery	No minimum	foodpanda delivery	['Burgers', 'Cakes & Bakery', 'Pakistani', 'Beverage']
166	Burger Lab - Test	4.0	1555.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Meat', 'Super Discount', 'Beverage', 'Burgers']
167	Cock N Bull			Free delivery	No minimum	Restaurant Own delivery	['Chinese', 'Pakistani']
168	Domino's	4.1	526.0	Free delivery	No minimum	Restaurant Own delivery	['Beverage', 'Pizza', 'Italian']
169	Bombay Chowpatty - Fortress Square Mall	2.7	51.0	Free delivery	No minimum	foodpanda delivery	['Chinese', 'Fast Food', 'Pakistani']
170	Papa John's	4.4	214.0	Free delivery	No minimum	Restaurant Own delivery	['Salad', 'Thin Crust Pizza', 'Italian']
171	Cheen Chutney Aur Chai			Free delivery	No minimum	foodpanda delivery	['Curry', 'Fish', 'Fried Chicken', 'Rice', 'Wraps', 'Paratha', 'Karahi', 'Tea', 'Roll Paratha', 'Beverage', 'Burgers', 'Chinese', 'Pakistani', 'Pizza', 'Fast Food']
172	Juice Island - Lahore			Free delivery	No minimum	foodpanda delivery	['Sweets', 'Beverage']
173	Gloria Jean's Coffees			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Cupcakes', 'Ice Cream Shakes', 'Tea', 'Coffee', 'Beverage', 'Sandwiches', 'Cakes & Bakery']
174	Balochi Sajji By Bundu Khan - Fortress Stadium			Free delivery	No minimum	Restaurant Own delivery	['BBQ', 'Chicken', 'Soup', 'Broast', 'Paratha', 'Karahi', 'Beverage', 'Burgers', 'Desserts', 'Fast Food', 'Pakistani']
175	Mandarin Kitchen	4.4	64.0	Free delivery	No minimum	foodpanda delivery	['Curry', 'Fried Chicken', 'Salad', 'Prawns', 'Seafood', 'Thai', 'Chinese']
176	Swadi Rasoi	4.4	5.0	Free delivery	No minimum		['Pakistani']
177	BAR-B-QUE Garden			Free delivery	No minimum	foodpanda delivery	['Pakistani']
178	The Big Mouth	2.0	1.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Super Discount', 'Fast Food']
179	EEDEN RESTAURANT			Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Soup', 'Wraps', 'Juices', 'Tea', 'Coffee', 'Roll Paratha', 'Beverage', 'Burgers', 'Desserts', 'Sandwiches', 'Fast Food']
180	Lahori Sweets - Fortress Stadium			Free delivery	No minimum		['Desserts']
181	Bundu Khan Restaurant	4.3	49.0	Free delivery	No minimum	Restaurant Own delivery	['BBQ', 'Fast Food', 'Fish', 'Rice', 'Soup', 'Tandoor', 'Asian', 'Fast Food', 'Pakistani']
182	JAIDI Restaurant BIRYANI			Free delivery	No minimum	foodpanda delivery	['Rice', 'Beverage', 'Desserts', 'Pakistani']
183	JAIDI Restaurant-Juices & Ice Cream			Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Salad', 'Ice Cream Shakes', 'Juices', 'Tea', 'Coffee', 'Desserts', 'Beverage']
184	JAIDI Restaurant-Fast Food & Chinese			Free delivery	No minimum	foodpanda delivery	['BBQ', 'Chicken', 'Fast Food', 'Paratha', 'Pakistani']
185	Lazat Kadah	3.5	6.0	Free delivery	No minimum	foodpanda delivery	['Fast Food']
186	Nawab Biryani	4.1	55.0	Free delivery	No minimum	foodpanda delivery	['Rice', 'Pakistani']
187	Mayari Zaika			Free delivery	No minimum	foodpanda delivery	['BBQ', 'Fried Chicken', 'Burgers', 'Sandwiches', 'Pakistani']
188	SALTZ-Dha			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fried Chicken', 'Soup', 'Ice Cream Shakes', 'Juices', 'Beverage', 'Chinese']
189	Haleem Kinara	4.5	38.0	Free delivery	No minimum	foodpanda delivery	['Pakistani']
190	Chopsticks	3.2	8.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Chinese']
191	Ghar Ka Khana			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fried Chicken', 'Pasta', 'Super Discount', 'Fast Food']
192	Primo Pizzeria	3.5	30.0	Free delivery	No minimum		['Pizza']
193	La Casa	4.2	4.0	Free delivery	No minimum		['Beverage', 'Fast Food']
194	Eastwood LA - Bar BQ Today	3.9	12.0	Free delivery	No minimum	foodpanda delivery	['Chinese', 'Fast Food', 'Pakistani']
